,0,1,Overall,var,Variables
172,3.439454602,3.439454602,3.439454602,Tinversion,16
173,2.687264454,2.687264454,2.687264454,BP,16
174,2.304806688,2.304806688,2.304806688,ESR,16
175,2.217514576,2.217514576,2.217514576,DM,16
176,2.154845283,2.154845283,2.154845283,K,16
177,2.120424167,2.120424167,2.120424167,FBS,16
178,1.996738499,1.996738499,1.996738499,Q.Wave,16
179,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,15
180,9.135150566,9.135150566,9.135150566,Atypical,15
181,7.853764265,7.853764265,7.853764265,Nonanginal,15
182,6.565996544,6.565996544,6.565996544,Age,15
183,6.165122968,6.165122968,6.165122968,VHD.Severe,15
184,5.416704415,5.416704415,5.416704415,Region.RWMA.0,15
185,5.181808453,5.181808453,5.181808453,EF.TTE,15
186,5.055606706,5.055606706,5.055606706,HTN,15
187,4.042073909,4.042073909,4.042073909,Region.RWMA.2,15
188,3.439454602,3.439454602,3.439454602,Tinversion,15
189,2.687264454,2.687264454,2.687264454,BP,15
190,2.304806688,2.304806688,2.304806688,ESR,15
191,2.217514576,2.217514576,2.217514576,DM,15
192,2.154845283,2.154845283,2.154845283,K,15
193,2.120424167,2.120424167,2.120424167,FBS,15
194,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,14
195,9.135150566,9.135150566,9.135150566,Atypical,14
196,7.853764265,7.853764265,7.853764265,Nonanginal,14
197,6.565996544,6.565996544,6.565996544,Age,14
198,6.165122968,6.165122968,6.165122968,VHD.Severe,14
199,5.416704415,5.416704415,5.416704415,Region.RWMA.0,14
200,5.181808453,5.181808453,5.181808453,EF.TTE,14
201,5.055606706,5.055606706,5.055606706,HTN,14
202,4.042073909,4.042073909,4.042073909,Region.RWMA.2,14
203,3.439454602,3.439454602,3.439454602,Tinversion,14
204,2.687264454,2.687264454,2.687264454,BP,14
205,2.304806688,2.304806688,2.304806688,ESR,14
206,2.217514576,2.217514576,2.217514576,DM,14
207,2.154845283,2.154845283,2.154845283,K,14
208,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,13
209,9.135150566,9.135150566,9.135150566,Atypical,13
210,7.853764265,7.853764265,7.853764265,Nonanginal,13
211,6.565996544,6.565996544,6.565996544,Age,13
212,6.165122968,6.165122968,6.165122968,VHD.Severe,13
213,5.416704415,5.416704415,5.416704415,Region.RWMA.0,13
214,5.181808453,5.181808453,5.181808453,EF.TTE,13
215,5.055606706,5.055606706,5.055606706,HTN,13
216,4.042073909,4.042073909,4.042073909,Region.RWMA.2,13
217,3.439454602,3.439454602,3.439454602,Tinversion,13
218,2.687264454,2.687264454,2.687264454,BP,13
219,2.304806688,2.304806688,2.304806688,ESR,13
220,2.217514576,2.217514576,2.217514576,DM,13
221,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,12
222,9.135150566,9.135150566,9.135150566,Atypical,12
223,7.853764265,7.853764265,7.853764265,Nonanginal,12
224,6.565996544,6.565996544,6.565996544,Age,12
225,6.165122968,6.165122968,6.165122968,VHD.Severe,12
226,5.416704415,5.416704415,5.416704415,Region.RWMA.0,12
227,5.181808453,5.181808453,5.181808453,EF.TTE,12
228,5.055606706,5.055606706,5.055606706,HTN,12
229,4.042073909,4.042073909,4.042073909,Region.RWMA.2,12
230,3.439454602,3.439454602,3.439454602,Tinversion,12
231,2.687264454,2.687264454,2.687264454,BP,12
232,2.304806688,2.304806688,2.304806688,ESR,12
233,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,11
234,9.135150566,9.135150566,9.135150566,Atypical,11
235,7.853764265,7.853764265,7.853764265,Nonanginal,11
236,6.565996544,6.565996544,6.565996544,Age,11
237,6.165122968,6.165122968,6.165122968,VHD.Severe,11
238,5.416704415,5.416704415,5.416704415,Region.RWMA.0,11
239,5.181808453,5.181808453,5.181808453,EF.TTE,11
240,5.055606706,5.055606706,5.055606706,HTN,11
241,4.042073909,4.042073909,4.042073909,Region.RWMA.2,11
242,3.439454602,3.439454602,3.439454602,Tinversion,11
243,2.687264454,2.687264454,2.687264454,BP,11
244,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,10
245,9.135150566,9.135150566,9.135150566,Atypical,10
246,7.853764265,7.853764265,7.853764265,Nonanginal,10
247,6.565996544,6.565996544,6.565996544,Age,10
248,6.165122968,6.165122968,6.165122968,VHD.Severe,10
249,5.416704415,5.416704415,5.416704415,Region.RWMA.0,10
250,5.181808453,5.181808453,5.181808453,EF.TTE,10
251,5.055606706,5.055606706,5.055606706,HTN,10
252,4.042073909,4.042073909,4.042073909,Region.RWMA.2,10
253,3.439454602,3.439454602,3.439454602,Tinversion,10
254,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,9
255,9.135150566,9.135150566,9.135150566,Atypical,9
256,7.853764265,7.853764265,7.853764265,Nonanginal,9
257,6.565996544,6.565996544,6.565996544,Age,9
258,6.165122968,6.165122968,6.165122968,VHD.Severe,9
259,5.416704415,5.416704415,5.416704415,Region.RWMA.0,9
260,5.181808453,5.181808453,5.181808453,EF.TTE,9
261,5.055606706,5.055606706,5.055606706,HTN,9
262,4.042073909,4.042073909,4.042073909,Region.RWMA.2,9
263,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,8
264,9.135150566,9.135150566,9.135150566,Atypical,8
265,7.853764265,7.853764265,7.853764265,Nonanginal,8
266,6.565996544,6.565996544,6.565996544,Age,8
267,6.165122968,6.165122968,6.165122968,VHD.Severe,8
268,5.416704415,5.416704415,5.416704415,Region.RWMA.0,8
269,5.181808453,5.181808453,5.181808453,EF.TTE,8
270,5.055606706,5.055606706,5.055606706,HTN,8
271,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,7
272,9.135150566,9.135150566,9.135150566,Atypical,7
273,7.853764265,7.853764265,7.853764265,Nonanginal,7
274,6.565996544,6.565996544,6.565996544,Age,7
275,6.165122968,6.165122968,6.165122968,VHD.Severe,7
276,5.416704415,5.416704415,5.416704415,Region.RWMA.0,7
277,5.181808453,5.181808453,5.181808453,EF.TTE,7
278,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,6
279,9.135150566,9.135150566,9.135150566,Atypical,6
280,7.853764265,7.853764265,7.853764265,Nonanginal,6
281,6.565996544,6.565996544,6.565996544,Age,6
282,6.165122968,6.165122968,6.165122968,VHD.Severe,6
283,5.416704415,5.416704415,5.416704415,Region.RWMA.0,6
284,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,5
285,9.135150566,9.135150566,9.135150566,Atypical,5
286,7.853764265,7.853764265,7.853764265,Nonanginal,5
287,6.565996544,6.565996544,6.565996544,Age,5
288,6.165122968,6.165122968,6.165122968,VHD.Severe,5
289,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,4
290,9.135150566,9.135150566,9.135150566,Atypical,4
291,7.853764265,7.853764265,7.853764265,Nonanginal,4
292,6.565996544,6.565996544,6.565996544,Age,4
293,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,3
294,9.135150566,9.135150566,9.135150566,Atypical,3
295,7.853764265,7.853764265,7.853764265,Nonanginal,3
296,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,2
297,9.135150566,9.135150566,9.135150566,Atypical,2
298,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,1
299,13.7018771,13.7018771,13.7018771,Typical.Chest.Pain,67
300,10.16214987,10.16214987,10.16214987,Atypical,67
301,8.009553984,8.009553984,8.009553984,Nonanginal,67
302,7.537024891,7.537024891,7.537024891,Age,67
303,6.563087647,6.563087647,6.563087647,VHD.Severe,67
304,5.791543682,5.791543682,5.791543682,HTN,67
305,4.964150779,4.964150779,4.964150779,EF.TTE,67
306,4.789526471,4.789526471,4.789526471,Region.RWMA.0,67
307,3.63115669,3.63115669,3.63115669,Tinversion,67
308,3.394405637,3.394405637,3.394405637,Current.Smoker,67
309,3.101014373,3.101014373,3.101014373,FBS,67
310,3.060591343,3.060591343,3.060591343,Region.RWMA.2,67
311,2.771238567,2.771238567,2.771238567,BP,67
312,2.008323179,2.008323179,2.008323179,K,67
313,1.884610669,1.884610669,1.884610669,DM,67
314,1.771615961,1.771615961,1.771615961,Diastolic.Murmur,67
315,1.727894473,1.727894473,1.727894473,LVH,67
316,1.638141877,1.638141877,1.638141877,ESR,67
317,1.544090124,1.544090124,1.544090124,HDL,67
318,1.406213132,1.406213132,1.406213132,BMI,67
319,1.283211421,1.283211421,1.283211421,Neut,67
320,1.148943782,1.148943782,1.148943782,Poor.R.Progression,67
321,1.110649525,1.110649525,1.110649525,St.Elevation,67
322,1.019142402,1.019142402,1.019142402,VHD.mild,67
323,1.01084532,1.01084532,1.01084532,CVA,67
324,0.996716131,0.996716131,0.996716131,VHD.moderate,67
325,0.973278717,0.973278717,0.973278717,Obesity,67
326,0.868508407,0.868508407,0.868508407,Thyroid.Disease,67
327,0.695383971,0.695383971,0.695383971,Sex,67
328,0.675839187,0.675839187,0.675839187,Systolic.Murmur,67
329,0.637457928,0.637457928,0.637457928,TG,67
330,0.633078366,0.633078366,0.633078366,BUN,67
331,0.548745306,0.548745306,0.548745306,CR,67
332,0.502471054,0.502471054,0.502471054,BBB.N,67
333,0.500500751,0.500500751,0.500500751,Weak.Peripheral.Pulse,67
334,0.500500751,0.500500751,0.500500751,CRF,67
335,0.4175548,0.4175548,0.4175548,St.Depression,67
336,0.38909279,0.38909279,0.38909279,HB,67
337,0.365021391,0.365021391,0.365021391,Lymph,67
338,0.27490185,0.27490185,0.27490185,WBC,67
339,0.233368325,0.233368325,0.233368325,Na,67
340,0.114780621,0.114780621,0.114780621,Length,67
341,0.100794559,0.100794559,0.100794559,Q.Wave,67
342,1.11E-16,1.11E-16,1.11E-16,BBB.RBBB,67
343,0,0,0,CHF,67
344,0,0,0,Function.Class.1,67
345,0,0,0,Exertional.CP,67
346,0,0,0,LowTH.Ang,67
347,0,0,0,Region.RWMA.3,67
348,0,0,0,Region.RWMA.4,67
349,-0.127490185,-0.127490185,-0.127490185,Function.Class.0,67
350,-0.142400365,-0.142400365,-0.142400365,Weight,67
351,-0.31403898,-0.31403898,-0.31403898,PR,67
352,-0.362499636,-0.362499636,-0.362499636,DLP,67
353,-0.472664488,-0.472664488,-0.472664488,Function.Class.2,67
354,-0.500500751,-0.500500751,-0.500500751,Lung.rales,67
355,-0.506341996,-0.506341996,-0.506341996,Region.RWMA.1,67
356,-0.532936036,-0.532936036,-0.532936036,FH,67
357,-0.57878705,-0.57878705,-0.57878705,PLT,67
358,-0.728664226,-0.728664226,-0.728664226,Edema,67
359,-0.747108794,-0.747108794,-0.747108794,VHD.N,67
360,-0.797220574,-0.797220574,-0.797220574,Dyspnea,67
361,-0.840376217,-0.840376217,-0.840376217,Airway.disease,67
362,-1.008858463,-1.008858463,-1.008858463,BBB.LBBB,67
363,-1.013942211,-1.013942211,-1.013942211,Function.Class.3,67
364,-1.024940659,-1.024940659,-1.024940659,LDL,67
365,-1.419450862,-1.419450862,-1.419450862,EX.Smoker,67
366,13.7018771,13.7018771,13.7018771,Typical.Chest.Pain,21
367,10.16214987,10.16214987,10.16214987,Atypical,21
368,8.009553984,8.009553984,8.009553984,Nonanginal,21
369,7.537024891,7.537024891,7.537024891,Age,21
370,6.563087647,6.563087647,6.563087647,VHD.Severe,21
371,5.791543682,5.791543682,5.791543682,HTN,21
372,4.964150779,4.964150779,4.964150779,EF.TTE,21
373,4.789526471,4.789526471,4.789526471,Region.RWMA.0,21
374,3.63115669,3.63115669,3.63115669,Tinversion,21
375,3.394405637,3.394405637,3.394405637,Current.Smoker,21
376,3.101014373,3.101014373,3.101014373,FBS,21
377,3.060591343,3.060591343,3.060591343,Region.RWMA.2,21
378,2.771238567,2.771238567,2.771238567,BP,21
379,2.008323179,2.008323179,2.008323179,K,21
380,1.884610669,1.884610669,1.884610669,DM,21
381,1.771615961,1.771615961,1.771615961,Diastolic.Murmur,21
382,1.727894473,1.727894473,1.727894473,LVH,21
383,1.638141877,1.638141877,1.638141877,ESR,21
384,1.544090124,1.544090124,1.544090124,HDL,21
385,1.406213132,1.406213132,1.406213132,BMI,21
386,1.283211421,1.283211421,1.283211421,Neut,21
387,13.7018771,13.7018771,13.7018771,Typical.Chest.Pain,20
388,10.16214987,10.16214987,10.16214987,Atypical,20
389,8.009553984,8.009553984,8.009553984,Nonanginal,20
390,7.537024891,7.537024891,7.537024891,Age,20
391,6.563087647,6.563087647,6.563087647,VHD.Severe,20
392,5.791543682,5.791543682,5.791543682,HTN,20
393,4.964150779,4.964150779,4.964150779,EF.TTE,20
394,4.789526471,4.789526471,4.789526471,Region.RWMA.0,20
395,3.63115669,3.63115669,3.63115669,Tinversion,20
396,3.394405637,3.394405637,3.394405637,Current.Smoker,20
397,3.101014373,3.101014373,3.101014373,FBS,20
398,3.060591343,3.060591343,3.060591343,Region.RWMA.2,20
399,2.771238567,2.771238567,2.771238567,BP,20
400,2.008323179,2.008323179,2.008323179,K,20
401,1.884610669,1.884610669,1.884610669,DM,20
402,1.771615961,1.771615961,1.771615961,Diastolic.Murmur,20
403,1.727894473,1.727894473,1.727894473,LVH,20
404,1.638141877,1.638141877,1.638141877,ESR,20
405,1.544090124,1.544090124,1.544090124,HDL,20
406,1.406213132,1.406213132,1.406213132,BMI,20
407,13.7018771,13.7018771,13.7018771,Typical.Chest.Pain,19
408,10.16214987,10.16214987,10.16214987,Atypical,19
409,8.009553984,8.009553984,8.009553984,Nonanginal,19
410,7.537024891,7.537024891,7.537024891,Age,19
411,6.563087647,6.563087647,6.563087647,VHD.Severe,19
412,5.791543682,5.791543682,5.791543682,HTN,19
413,4.964150779,4.964150779,4.964150779,EF.TTE,19
414,4.789526471,4.789526471,4.789526471,Region.RWMA.0,19
415,3.63115669,3.63115669,3.63115669,Tinversion,19
416,3.394405637,3.394405637,3.394405637,Current.Smoker,19
417,3.101014373,3.101014373,3.101014373,FBS,19
418,3.060591343,3.060591343,3.060591343,Region.RWMA.2,19
419,2.771238567,2.771238567,2.771238567,BP,19
420,2.008323179,2.008323179,2.008323179,K,19
421,1.884610669,1.884610669,1.884610669,DM,19
422,1.771615961,1.771615961,1.771615961,Diastolic.Murmur,19
423,1.727894473,1.727894473,1.727894473,LVH,19
424,1.638141877,1.638141877,1.638141877,ESR,19
425,1.544090124,1.544090124,1.544090124,HDL,19
426,13.7018771,13.7018771,13.7018771,Typical.Chest.Pain,18
427,10.16214987,10.16214987,10.16214987,Atypical,18
428,8.009553984,8.009553984,8.009553984,Nonanginal,18
429,7.537024891,7.537024891,7.537024891,Age,18
430,6.563087647,6.563087647,6.563087647,VHD.Severe,18
431,5.791543682,5.791543682,5.791543682,HTN,18
432,4.964150779,4.964150779,4.964150779,EF.TTE,18
433,4.789526471,4.789526471,4.789526471,Region.RWMA.0,18
434,3.63115669,3.63115669,3.63115669,Tinversion,18
435,3.394405637,3.394405637,3.394405637,Current.Smoker,18
436,3.101014373,3.101014373,3.101014373,FBS,18
437,3.060591343,3.060591343,3.060591343,Region.RWMA.2,18
438,2.771238567,2.771238567,2.771238567,BP,18
439,2.008323179,2.008323179,2.008323179,K,18
440,1.884610669,1.884610669,1.884610669,DM,18
441,1.771615961,1.771615961,1.771615961,Diastolic.Murmur,18
442,1.727894473,1.727894473,1.727894473,LVH,18
443,1.638141877,1.638141877,1.638141877,ESR,18
444,13.7018771,13.7018771,13.7018771,Typical.Chest.Pain,17
445,10.16214987,10.16214987,10.16214987,Atypical,17
446,8.009553984,8.009553984,8.009553984,Nonanginal,17
447,7.537024891,7.537024891,7.537024891,Age,17
448,6.563087647,6.563087647,6.563087647,VHD.Severe,17
449,5.791543682,5.791543682,5.791543682,HTN,17
450,4.964150779,4.964150779,4.964150779,EF.TTE,17
451,4.789526471,4.789526471,4.789526471,Region.RWMA.0,17
452,3.63115669,3.63115669,3.63115669,Tinversion,17
453,3.394405637,3.394405637,3.394405637,Current.Smoker,17
454,3.101014373,3.101014373,3.101014373,FBS,17
455,3.060591343,3.060591343,3.060591343,Region.RWMA.2,17
456,2.771238567,2.771238567,2.771238567,BP,17
457,2.008323179,2.008323179,2.008323179,K,17
458,1.884610669,1.884610669,1.884610669,DM,17
459,1.771615961,1.771615961,1.771615961,Diastolic.Murmur,17
460,1.727894473,1.727894473,1.727894473,LVH,17
461,13.7018771,13.7018771,13.7018771,Typical.Chest.Pain,16
462,10.16214987,10.16214987,10.16214987,Atypical,16
463,8.009553984,8.009553984,8.009553984,Nonanginal,16
464,7.537024891,7.537024891,7.537024891,Age,16
465,6.563087647,6.563087647,6.563087647,VHD.Severe,16
466,5.791543682,5.791543682,5.791543682,HTN,16
467,4.964150779,4.964150779,4.964150779,EF.TTE,16
468,4.789526471,4.789526471,4.789526471,Region.RWMA.0,16
469,3.63115669,3.63115669,3.63115669,Tinversion,16
470,3.394405637,3.394405637,3.394405637,Current.Smoker,16
471,3.101014373,3.101014373,3.101014373,FBS,16
472,3.060591343,3.060591343,3.060591343,Region.RWMA.2,16
473,2.771238567,2.771238567,2.771238567,BP,16
474,2.008323179,2.008323179,2.008323179,K,16
475,1.884610669,1.884610669,1.884610669,DM,16
476,1.771615961,1.771615961,1.771615961,Diastolic.Murmur,16
477,13.7018771,13.7018771,13.7018771,Typical.Chest.Pain,15
478,10.16214987,10.16214987,10.16214987,Atypical,15
479,8.009553984,8.009553984,8.009553984,Nonanginal,15
480,7.537024891,7.537024891,7.537024891,Age,15
481,6.563087647,6.563087647,6.563087647,VHD.Severe,15
482,5.791543682,5.791543682,5.791543682,HTN,15
483,4.964150779,4.964150779,4.964150779,EF.TTE,15
484,4.789526471,4.789526471,4.789526471,Region.RWMA.0,15
485,3.63115669,3.63115669,3.63115669,Tinversion,15
486,3.394405637,3.394405637,3.394405637,Current.Smoker,15
487,3.101014373,3.101014373,3.101014373,FBS,15
488,3.060591343,3.060591343,3.060591343,Region.RWMA.2,15
489,2.771238567,2.771238567,2.771238567,BP,15
490,2.008323179,2.008323179,2.008323179,K,15
491,1.884610669,1.884610669,1.884610669,DM,15
492,13.7018771,13.7018771,13.7018771,Typical.Chest.Pain,14
493,10.16214987,10.16214987,10.16214987,Atypical,14
494,8.009553984,8.009553984,8.009553984,Nonanginal,14
